City_ID,City,Country,Cloudiness,Humidity,Lat,Lng,Max_Temp,Wind_Speed
104,hoa binh,VN,20,78,20.81,105.34,82.4,8.05
105,tuktoyaktuk,CA,90,75,69.45,-133.04,42.8,11.41
106,beyneu,KZ,15,19,45.32,55.2,90.61,6.71
107,khatanga,RU,93,54,71.97,102.5,56.88,4.32
108,yugorsk,RU,0,56,61.31,63.33,62.76,5.59
109,kaya,BF,0,65,13.09,-1.08,80.76,10.71
110,pangnirtung,CA,90,67,66.15,-65.71,52.29,2.84
111,sremski karlovci,RS,0,93,45.2,19.93,64,2.42
112,luderitz,NA,0,34,-26.65,15.16,62.6,8.05
113,kem,RU,55,67,64.96,34.58,61.88,5.44
114,saskylakh,RU,100,44,71.92,114.08,60.44,11.7
115,narsaq,GL,72,53,60.92,-46.05,50,4.7
116,kaitangata,NZ,13,55,-46.28,169.85,54,4
117,belaya gora,RU,27,27,68.53,146.42,87.35,8.79
118,faya,SA,100,77,18.39,42.45,66.2,4.5
119,ancud,CL,90,100,-41.87,-73.82,48,2.24
120,trapani,IT,0,94,37.83,12.67,68,2.24
121,niamey,NE,5,74,13.51,2.11,82.4,5.82
122,uturoa,PF,41,79,-16.73,-151.43,77.99,24.7
123,thompson,CA,75,64,55.74,-97.86,68,4.7
124,bredasdorp,ZA,28,93,-34.53,20.04,55.4,2.24
125,berlevag,NO,100,93,70.86,29.09,55.4,2.24
126,qaanaaq,GL,51,70,77.48,-69.36,45.93,1.32
127,yarim,YE,100,88,14.3,44.38,56.59,5.23
128,kodiak,US,20,44,57.79,-152.41,75.2,11.41
129,talnakh,RU,75,100,69.49,88.4,51.8,8.95
130,lianran,CN,90,100,24.92,102.48,70,15.66
131,geraldton,AU,0,59,-28.77,114.6,62.6,23.04
132,nikolskoye,RU,99,87,59.7,30.79,60.8,4.47
133,havoysund,NO,90,100,71,24.66,51.8,17.22
134,yerofey pavlovich,RU,100,95,53.97,121.97,53.78,5.55
135,hermanus,ZA,3,82,-34.42,19.23,55,6.78
136,cidreira,BR,55,82,-30.18,-50.21,65.35,5.03
137,seidu,SL,100,100,9.02,-10.6,67.3,1.68
138,linfen,CN,99,34,36.09,111.52,87.21,7.16
139,san ramon,US,1,59,37.78,-121.98,72,12.75
140,westport,US,1,51,41.14,-73.36,84.2,8.05
141,butaritari,KI,79,66,3.07,172.79,82.98,2.64
142,phalia,PK,100,74,32.43,73.58,81.93,10.71
143,mareeba,AU,75,73,-17,145.43,73.4,8.05
144,tandalti,SD,74,66,13.02,31.87,79.61,8.16
145,augusto correa,BR,5,96,-1.02,-46.63,72.18,2.68
146,lebu,CL,100,84,-37.62,-73.65,50.63,12.39
147,vardo,NO,75,100,70.37,31.11,57.2,6.93
148,rocha,UY,100,88,-34.48,-54.33,64.42,6.53
149,cherskiy,RU,100,28,68.75,161.3,76.93,5.41
150,bara,NG,100,89,10.37,10.73,73.44,10.94
151,pittsburg,US,1,49,38.03,-121.88,82.99,9.17
152,srednekolymsk,RU,14,28,67.45,153.68,82.71,13.27
